ACH_DATE,COMMISSIONER_ORGANISATION_CODE,GEOGRAPHY_CODE,SUB_ICB_LOC_NAME,Measure,Value
30-Apr-22,00L,E38000130,NHS North East and North Cumbria ICB - 00L,ASIAN_OR_ASIAN_BRITISH,4
30-Apr-22,00L,E38000130,NHS North East and North Cumbria ICB - 00L,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,0
30-Apr-22,00L,E38000130,NHS North East and North Cumbria ICB - 00L,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,0
30-Apr-22,00L,E38000130,NHS North East and North Cumbria ICB - 00L,NOT_DEFINED,869
30-Apr-22,00L,E38000130,NHS North East and North Cumbria ICB - 00L,OTHER_ETHNIC_GROUP,2
30-Apr-22,00L,E38000130,NHS North East and North Cumbria ICB - 00L,WHITE,2265
30-Apr-22,00N,E38000163,NHS North East and North Cumbria ICB - 00N,ASIAN_OR_ASIAN_BRITISH,10
30-Apr-22,00N,E38000163,NHS North East and North Cumbria ICB - 00N,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,0
30-Apr-22,00N,E38000163,NHS North East and North Cumbria ICB - 00N,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,8
30-Apr-22,00N,E38000163,NHS North East and North Cumbria ICB - 00N,NOT_DEFINED,905
30-Apr-22,00N,E38000163,NHS North East and North Cumbria ICB - 00N,OTHER_ETHNIC_GROUP,2
30-Apr-22,00N,E38000163,NHS North East and North Cumbria ICB - 00N,WHITE,458
30-Apr-22,00P,E38000176,NHS North East and North Cumbria ICB - 00P,ASIAN_OR_ASIAN_BRITISH,8
30-Apr-22,00P,E38000176,NHS North East and North Cumbria ICB - 00P,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,0
30-Apr-22,00P,E38000176,NHS North East and North Cumbria ICB - 00P,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,0
30-Apr-22,00P,E38000176,NHS North East and North Cumbria ICB - 00P,NOT_DEFINED,1319
30-Apr-22,00P,E38000176,NHS North East and North Cumbria ICB - 00P,OTHER_ETHNIC_GROUP,1
30-Apr-22,00P,E38000176,NHS North East and North Cumbria ICB - 00P,WHITE,841
30-Apr-22,00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,ASIAN_OR_ASIAN_BRITISH,141
30-Apr-22,00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,1
30-Apr-22,00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,3
30-Apr-22,00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,NOT_DEFINED,248
30-Apr-22,00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,OTHER_ETHNIC_GROUP,2
30-Apr-22,00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,WHITE,700
30-Apr-22,00R,E38000015,NHS Lancashire and South Cumbria ICB - 00R,ASIAN_OR_ASIAN_BRITISH,5
30-Apr-22,00R,E38000015,NHS Lancashire and South Cumbria ICB - 00R,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,1
30-Apr-22,00R,E38000015,NHS Lancashire and South Cumbria ICB - 00R,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,7
30-Apr-22,00R,E38000015,NHS Lancashire and South Cumbria ICB - 00R,NOT_DEFINED,211
30-Apr-22,00R,E38000015,NHS Lancashire and South Cumbria ICB - 00R,OTHER_ETHNIC_GROUP,13
30-Apr-22,00R,E38000015,NHS Lancashire and South Cumbria ICB - 00R,WHITE,1362
30-Apr-22,00T,E38000016,NHS Greater Manchester ICB - 00T,ASIAN_OR_ASIAN_BRITISH,140
30-Apr-22,00T,E38000016,NHS Greater Manchester ICB - 00T,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,0
30-Apr-22,00T,E38000016,NHS Greater Manchester ICB - 00T,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,7
30-Apr-22,00T,E38000016,NHS Greater Manchester ICB - 00T,NOT_DEFINED,1321
30-Apr-22,00T,E38000016,NHS Greater Manchester ICB - 00T,OTHER_ETHNIC_GROUP,10
30-Apr-22,00T,E38000016,NHS Greater Manchester ICB - 00T,WHITE,774
30-Apr-22,00V,E38000024,NHS Greater Manchester ICB - 00V,ASIAN_OR_ASIAN_BRITISH,23
30-Apr-22,00V,E38000024,NHS Greater Manchester ICB - 00V,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,0
30-Apr-22,00V,E38000024,NHS Greater Manchester ICB - 00V,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,1
30-Apr-22,00V,E38000024,NHS Greater Manchester ICB - 00V,NOT_DEFINED,1392
30-Apr-22,00V,E38000024,NHS Greater Manchester ICB - 00V,OTHER_ETHNIC_GROUP,3
30-Apr-22,00V,E38000024,NHS Greater Manchester ICB - 00V,WHITE,333
30-Apr-22,00X,E38000034,NHS Lancashire and South Cumbria ICB - 00X,ASIAN_OR_ASIAN_BRITISH,13
30-Apr-22,00X,E38000034,NHS Lancashire and South Cumbria ICB - 00X,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,2
30-Apr-22,00X,E38000034,NHS Lancashire and South Cumbria ICB - 00X,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,2
30-Apr-22,00X,E38000034,NHS Lancashire and South Cumbria ICB - 00X,NOT_DEFINED,620
30-Apr-22,00X,E38000034,NHS Lancashire and South Cumbria ICB - 00X,OTHER_ETHNIC_GROUP,2
30-Apr-22,00X,E38000034,NHS Lancashire and South Cumbria ICB - 00X,WHITE,1013
30-Apr-22,00Y,E38000135,NHS Greater Manchester ICB - 00Y,ASIAN_OR_ASIAN_BRITISH,104
30-Apr-22,00Y,E38000135,NHS Greater Manchester ICB - 00Y,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,1
30-Apr-22,00Y,E38000135,NHS Greater Manchester ICB - 00Y,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,7
30-Apr-22,00Y,E38000135,NHS Greater Manchester ICB - 00Y,NOT_DEFINED,824
30-Apr-22,00Y,E38000135,NHS Greater Manchester ICB - 00Y,OTHER_ETHNIC_GROUP,4
30-Apr-22,00Y,E38000135,NHS Greater Manchester ICB - 00Y,WHITE,822
30-Apr-22,01A,E38000050,NHS Lancashire and South Cumbria ICB - 01A,ASIAN_OR_ASIAN_BRITISH,106
30-Apr-22,01A,E38000050,NHS Lancashire and South Cumbria ICB - 01A,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,1
30-Apr-22,01A,E38000050,NHS Lancashire and South Cumbria ICB - 01A,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,3
30-Apr-22,01A,E38000050,NHS Lancashire and South Cumbria ICB - 01A,NOT_DEFINED,1240
30-Apr-22,01A,E38000050,NHS Lancashire and South Cumbria ICB - 01A,OTHER_ETHNIC_GROUP,5
30-Apr-22,01A,E38000050,NHS Lancashire and South Cumbria ICB - 01A,WHITE,1703
30-Apr-22,01D,E38000080,NHS Greater Manchester ICB - 01D,ASIAN_OR_ASIAN_BRITISH,107
30-Apr-22,01D,E38000080,NHS Greater Manchester ICB - 01D,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,0
30-Apr-22,01D,E38000080,NHS Greater Manchester ICB - 01D,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,2
30-Apr-22,01D,E38000080,NHS Greater Manchester ICB - 01D,NOT_DEFINED,983
30-Apr-22,01D,E38000080,NHS Greater Manchester ICB - 01D,OTHER_ETHNIC_GROUP,1
30-Apr-22,01D,E38000080,NHS Greater Manchester ICB - 01D,WHITE,510
30-Apr-22,01E,E38000227,NHS Lancashire and South Cumbria ICB - 01E,ASIAN_OR_ASIAN_BRITISH,81
30-Apr-22,01E,E38000227,NHS Lancashire and South Cumbria ICB - 01E,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,9
30-Apr-22,01E,E38000227,NHS Lancashire and South Cumbria ICB - 01E,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,6
30-Apr-22,01E,E38000227,NHS Lancashire and South Cumbria ICB - 01E,NOT_DEFINED,432
30-Apr-22,01E,E38000227,NHS Lancashire and South Cumbria ICB - 01E,OTHER_ETHNIC_GROUP,4
30-Apr-22,01E,E38000227,NHS Lancashire and South Cumbria ICB - 01E,WHITE,1208
30-Apr-22,01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,ASIAN_OR_ASIAN_BRITISH,1
30-Apr-22,01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,0
30-Apr-22,01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,0
30-Apr-22,01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,NOT_DEFINED,395
30-Apr-22,01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,OTHER_ETHNIC_GROUP,1
30-Apr-22,01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,WHITE,569
30-Apr-22,01G,E38000143,NHS Greater Manchester ICB - 01G,ASIAN_OR_ASIAN_BRITISH,19
30-Apr-22,01G,E38000143,NHS Greater Manchester ICB - 01G,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,0
30-Apr-22,01G,E38000143,NHS Greater Manchester ICB - 01G,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,4
30-Apr-22,01G,E38000143,NHS Greater Manchester ICB - 01G,NOT_DEFINED,707
30-Apr-22,01G,E38000143,NHS Greater Manchester ICB - 01G,OTHER_ETHNIC_GROUP,18
30-Apr-22,01G,E38000143,NHS Greater Manchester ICB - 01G,WHITE,979
30-Apr-22,01H,E38000215,NHS North East and North Cumbria ICB - 01H,ASIAN_OR_ASIAN_BRITISH,1
30-Apr-22,01H,E38000215,NHS North East and North Cumbria ICB - 01H,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,0
30-Apr-22,01H,E38000215,NHS North East and North Cumbria ICB - 01H,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,1
30-Apr-22,01H,E38000215,NHS North East and North Cumbria ICB - 01H,NOT_DEFINED,1856
30-Apr-22,01H,E38000215,NHS North East and North Cumbria ICB - 01H,OTHER_ETHNIC_GROUP,2
30-Apr-22,01H,E38000215,NHS North East and North Cumbria ICB - 01H,WHITE,944
30-Apr-22,01J,E38000091,NHS Cheshire and Merseyside ICB - 01J,ASIAN_OR_ASIAN_BRITISH,2
30-Apr-22,01J,E38000091,NHS Cheshire and Merseyside ICB - 01J,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,0
30-Apr-22,01J,E38000091,NHS Cheshire and Merseyside ICB - 01J,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,1
30-Apr-22,01J,E38000091,NHS Cheshire and Merseyside ICB - 01J,NOT_DEFINED,622
30-Apr-22,01J,E38000091,NHS Cheshire and Merseyside ICB - 01J,OTHER_ETHNIC_GROUP,2
30-Apr-22,01J,E38000091,NHS Cheshire and Merseyside ICB - 01J,WHITE,355
30-Apr-22,01K,E38000228,NHS Lancashire and South Cumbria ICB - 01K,ASIAN_OR_ASIAN_BRITISH,14
30-Apr-22,01K,E38000228,NHS Lancashire and South Cumbria ICB - 01K,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,0
30-Apr-22,01K,E38000228,NHS Lancashire and South Cumbria ICB - 01K,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,3
30-Apr-22,01K,E38000228,NHS Lancashire and South Cumbria ICB - 01K,NOT_DEFINED,2492
30-Apr-22,01K,E38000228,NHS Lancashire and South Cumbria ICB - 01K,OTHER_ETHNIC_GROUP,2
30-Apr-22,01K,E38000228,NHS Lancashire and South Cumbria ICB - 01K,WHITE,1169
30-Apr-22,01T,E38000161,NHS Cheshire and Merseyside ICB - 01T,ASIAN_OR_ASIAN_BRITISH,1
30-Apr-22,01T,E38000161,NHS Cheshire and Merseyside ICB - 01T,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,0
30-Apr-22,01T,E38000161,NHS Cheshire and Merseyside ICB - 01T,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,0
30-Apr-22,01T,E38000161,NHS Cheshire and Merseyside ICB - 01T,NOT_DEFINED,486
30-Apr-22,01T,E38000161,NHS Cheshire and Merseyside ICB - 01T,OTHER_ETHNIC_GROUP,1
30-Apr-22,01T,E38000161,NHS Cheshire and Merseyside ICB - 01T,WHITE,710
30-Apr-22,01V,E38000170,NHS Cheshire and Merseyside ICB - 01V,ASIAN_OR_ASIAN_BRITISH,3
30-Apr-22,01V,E38000170,NHS Cheshire and Merseyside ICB - 01V,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,1
30-Apr-22,01V,E38000170,NHS Cheshire and Merseyside ICB - 01V,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,0
30-Apr-22,01V,E38000170,NHS Cheshire and Merseyside ICB - 01V,NOT_DEFINED,689
30-Apr-22,01V,E38000170,NHS Cheshire and Merseyside ICB - 01V,OTHER_ETHNIC_GROUP,1
30-Apr-22,01V,E38000170,NHS Cheshire and Merseyside ICB - 01V,WHITE,871
30-Apr-22,01W,E38000174,NHS Greater Manchester ICB - 01W,ASIAN_OR_ASIAN_BRITISH,48
30-Apr-22,01W,E38000174,NHS Greater Manchester ICB - 01W,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,2
30-Apr-22,01W,E38000174,NHS Greater Manchester ICB - 01W,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,2
30-Apr-22,01W,E38000174,NHS Greater Manchester ICB - 01W,NOT_DEFINED,1801
30-Apr-22,01W,E38000174,NHS Greater Manchester ICB - 01W,OTHER_ETHNIC_GROUP,11
30-Apr-22,01W,E38000174,NHS Greater Manchester ICB - 01W,WHITE,886
30-Apr-22,01X,E38000172,NHS Cheshire and Merseyside ICB - 01X,ASIAN_OR_ASIAN_BRITISH,6
30-Apr-22,01X,E38000172,NHS Cheshire and Merseyside ICB - 01X,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,0
30-Apr-22,01X,E38000172,NHS Cheshire and Merseyside ICB - 01X,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,1
30-Apr-22,01X,E38000172,NHS Cheshire and Merseyside ICB - 01X,NOT_DEFINED,1159
30-Apr-22,01X,E38000172,NHS Cheshire and Merseyside ICB - 01X,OTHER_ETHNIC_GROUP,1
30-Apr-22,01X,E38000172,NHS Cheshire and Merseyside ICB - 01X,WHITE,587
30-Apr-22,01Y,E38000263,NHS Greater Manchester ICB - 01Y,ASIAN_OR_ASIAN_BRITISH,42
30-Apr-22,01Y,E38000263,NHS Greater Manchester ICB - 01Y,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,0
30-Apr-22,01Y,E38000263,NHS Greater Manchester ICB - 01Y,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,2
30-Apr-22,01Y,E38000263,NHS Greater Manchester ICB - 01Y,NOT_DEFINED,905
30-Apr-22,01Y,E38000263,NHS Greater Manchester ICB - 01Y,OTHER_ETHNIC_GROUP,14
30-Apr-22,01Y,E38000263,NHS Greater Manchester ICB - 01Y,WHITE,739
30-Apr-22,02A,E38000187,NHS Greater Manchester ICB - 02A,ASIAN_OR_ASIAN_BRITISH,49
30-Apr-22,02A,E38000187,NHS Greater Manchester ICB - 02A,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,0
30-Apr-22,02A,E38000187,NHS Greater Manchester ICB - 02A,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,14
30-Apr-22,02A,E38000187,NHS Greater Manchester ICB - 02A,NOT_DEFINED,1114
30-Apr-22,02A,E38000187,NHS Greater Manchester ICB - 02A,OTHER_ETHNIC_GROUP,8
30-Apr-22,02A,E38000187,NHS Greater Manchester ICB - 02A,WHITE,548
30-Apr-22,02E,E38000194,NHS Cheshire and Merseyside ICB - 02E,ASIAN_OR_ASIAN_BRITISH,11
30-Apr-22,02E,E38000194,NHS Cheshire and Merseyside ICB - 02E,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,1
30-Apr-22,02E,E38000194,NHS Cheshire and Merseyside ICB - 02E,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,4
30-Apr-22,02E,E38000194,NHS Cheshire and Merseyside ICB - 02E,NOT_DEFINED,800
30-Apr-22,02E,E38000194,NHS Cheshire and Merseyside ICB - 02E,OTHER_ETHNIC_GROUP,6
30-Apr-22,02E,E38000194,NHS Cheshire and Merseyside ICB - 02E,WHITE,999
30-Apr-22,02G,E38000200,NHS Lancashire and South Cumbria ICB - 02G,ASIAN_OR_ASIAN_BRITISH,2
30-Apr-22,02G,E38000200,NHS Lancashire and South Cumbria ICB - 02G,BLACK_OR_AFRICAN_OR_CARIBBEAN_OR_BLACK_BRITISH,1
30-Apr-22,02G,E38000200,NHS Lancashire and South Cumbria ICB - 02G,MIXED_OR_MULTIPLE_ETHNIC_GROUPS,0
